kode_spec;nama_perangkat;kode_id
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0236
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0226
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0227
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0133
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0137
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0130
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0125
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0275
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0246
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0237
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0232
B2WN00A0362M;SFP+ 10G SR 850NM, 300M;A0147
B2WN00A0121M;Generic Compatible 10GBASE-BX40-D BiDi SFP+ 1330nm-TX/1270nm-RX 20km DDM LC SMF Transceiver (QT-BIDI-SFP+-LH-33);A0024
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0057
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0111
B2WN0150017M;SFP+ 10G RAISECOM 40KM;A0014
B2WN0150090M;SFP+ ATOP 10G ER 1550nm 40KM;A0054
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0168
B2WN00A0369M;SFP+ 10G-SINGLESTRAIN 40KM TX 1270NM RX 1330NM;A0021
B2WN0150090M;SFP+ ATOP 10G ER 1550nm 40KM;A0124
B2WN00A0365M;Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;A0114
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0063
B2WN0150261M;SFP+ 10G 1550nm 40 KM-Project Lambda;A0007B
B2WN00A0125M;Transceiver BIDI SFP+ 10G Tx1270nm 20km DDM;A0151
B2WN0287060M;SFP+ 10G-SINGLESTRAIN 20KM (Tx-1330 / Rx-1270) (brand: FS/Qonitech/Atop/3Tech/6Com);A0229
B2WN0286428M;SFP ATOP 10G-SINGLESTRAIN 40KM TX 1330NM RX 1270NM;A0016
B2WN00A0104M;Customized  Compatible 10GBASE-ER SFP+ 1550nm 40km DDM LC SMF Transceiver Module Industrial Temperature;A0020
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0082
B2WN00A0365M;Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;A0166
B2WN00A0369M;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;A0225
B2WN00A0317M;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;A0058
B2WN00A0216M;QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;A0055B
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0145
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0144
B2WN0286411M;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;A0015
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0364
B2WN0286411M;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;A0024
B2WN0286593M;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;A0054
B2WN0286593M;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;A0052
B2WN0286745M;Juniper Networks JNP-QSFP-100G-SR4 Compatible 100GBASE-SR4 QSFP28 850nm 100m DOM MTP/MPO MMF Optical Transceiver Module;A0003
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0146
B2WN00A0216M;QSFP28 100G BASE-LR4 DUAL RATE 100GE/OTU;A0057B
B2WN0287155M;Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;A0011
B2WN00A0190M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;A0115
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0149
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0148
B2WN00A0190M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;A0117
B2WN0287155M;Starview QSFP+ 40Gbps module 40GBase aggregating 4 x 10Gbps duplex CWDM (1270/ 1290/ 1310/ 1330nm) SM (LC) with Digital Diagnost;A0012
B2WN0286411M;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;A0019
B2WN0286593M;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;A0007
B2WN00A0317M;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;A0010
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0036
B2WN00A0219M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps duplex LWDM (1295.6 nm, 1300.1 nm, 1304.6 nm, and 1309.1nm) wavel;A0297
B2WN0286593M;FS for Mellanox MC2210411-SR4 Compatible, 40GBASE-SR4 QSFP+ 850nm 150m DOM MTP/MPO MMF Optical Transceiver Module;A0051
B2WN0286411M;FS for Mellanox MMA1B00-C100D Compatible, 100GBASE-SR4 QSFP28 850nm 100m DOM Optical Transceiver Module;A0049
B2WN00A0317M;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;A0038
B2WN00A0317M;Starview QSFP56-DD 400Gbps module 400G-LR4 aggregating 4 x 100Gbps CWDM (1271/ 1291/ 1311/ 1331nm) SM (LC) with Digital Diagnost;A0037
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0034
B2WN0287157M;Starview QSFP28 100Gbps module 100GBase aggregating 4 x 25Gbps 850nm duplex MM (MPO-12) with Digital Diagnostic Monitoring (DDM);A0372
