kode_id;nama;noreg
A0231;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0231
A0149;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0149
A0134;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0134
A0247;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0247
A0244;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0244
A0236;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0236
A0226;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0226
A0227;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0227
A0133;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0133
A0137;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0137
A0130;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0130
A0125;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0125
A0275;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0275
A0246;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0246
A0237;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0237
A0232;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0232
A0147;SFP+ 10G SR 850NM, 300M;B2WN00A0362MA0147
A0024;Generic Compatible 10GBASE-BX40-D BiDi SFP+ 1330nm-TX/1270nm-RX 20km DDM LC SMF Transceiver (QT-BIDI-SFP+-LH-33);B2WN00A0121MA0024
A0057;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0057
A0111;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0111
A0014;SFP+ 10G RAISECOM 40KM;B2WN0150017MA0014
A0054;SFP+ ATOP 10G ER 1550nm 40KM;B2WN0150090MA0054
A0168;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0168
A0021;SFP+ 10G-SINGLESTRAIN 40KM TX 1270NM RX 1330NM;B2WN00A0369MA0021
A0124;SFP+ ATOP 10G ER 1550nm 40KM;B2WN0150090MA0124
A0114;Transceiver BIDI SFP+ 10G Tx1330nm 40km DDM;B2WN00A0365MA0114
A0063;Transceiver BIDI SFP+ 10G Tx1270nm 40km DDM;B2WN00A0369MA0063
A0007B;SFP+ 10G 1550nm 40 KM-Project Lambda;B2WN0150261MA0007B
A0151;Transceiver BIDI SFP+ 10G Tx1270nm 20km DDM;B2WN00A0125MA0151
A0229;SFP+ 10G-SINGLESTRAIN 20KM (Tx-1330 / Rx-1270) (brand: FS/Qonitech/Atop/3Tech/6Com);B2WN0287060MA0229
A0016;SFP ATOP 10G-SINGLESTRAIN 40KM TX 1330NM RX 1270NM;B2WN0286428MA0016
